attribute,quality
31.14186851211073,0.0
33.21799307958477,0.0
35.29411764705883,0.0
35.98615916955018,0.0
38.062283737024224,0.0
38.4083044982699,0.0
41.522491349480966,0.0
41.86851211072664,0.0
44.29065743944636,0.0
44.982698961937714,0.0
48.09688581314879,0.0
50.17301038062284,0.0
52.59515570934256,0.0
27.33564013840831,1.0
28.02768166089966,1.0
47.058823529411754,1.0
51.55709342560554,1.0
57.093425605536325,1.0
10.034602076124568,2.0
14.53287197231834,2.0
3.460207612456748,2.0
32.17993079584775,2.0
34.602076124567475,2.0
35.6401384083045,2.0
7.26643598615917,2.0
8.304498269896193,2.0
