attribute,quality
18.387096774193548,0.0
25.161290322580644,0.0
27.41935483870968,0.0
33.225806451612904,0.0
39.354838709677416,0.0
45.16129032258064,0.0
46.451612903225815,0.0
47.096774193548384,0.0
48.387096774193544,0.0
83.2258064516129,0.0
13.870967741935484,1.0
5.806451612903227,1.0
55.483870967741936,1.0
56.774193548387096,1.0
58.064516129032256,1.0
69.03225806451613,1.0
99.35483870967742,1.0
17.096774193548384,2.0
19.032258064516128,2.0
22.58064516129032,2.0
23.225806451612907,2.0
23.548387096774192,2.0
23.87096774193548,2.0
29.677419354838708,2.0
30.322580645161292,2.0
32.25806451612903,2.0
33.5483870967742,2.0
36.129032258064505,2.0
37.41935483870968,2.0
38.064516129032256,2.0
38.70967741935485,2.0
41.29032258064515,2.0
42.25806451612903,2.0
43.225806451612904,2.0
