attribute,quality
66.77852348993288,0.0
61.968680087248316,1.0
62.080536912751676,1.0
64.20581655704697,1.0
67.33780758389261,1.0
70.80536912751678,1.0
72.14765100671141,1.0
74.27293067114094,1.0
90.60402684563759,1.0
75.16778523489933,2.0
75.83892617449666,2.0
77.85234899328859,2.0
79.19463087248323,2.0
79.86577181208054,2.0
80.53691275167785,2.0
81.20805369127517,2.0
81.87919463087249,2.0
83.22147651006713,2.0
83.89261744966444,2.0
85.23489932885904,2.0
86.57718120805369,2.0
87.24832214765102,2.0
87.9194630872483,2.0
89.26174496644295,2.0
89.93288590604027,2.0
91.05145416107382,2.0
