attribute,quality
23.10126582278481,0.0
41.45569620253164,0.0
53.481012658227854,0.0
55.379746835443036,0.0
59.17721518987342,0.0
65.50632911392404,0.0
70.56962025316456,0.0
71.51898734177216,0.0
78.48101265822784,0.0
13.924050632911394,1.0
19.30379746835443,1.0
19.936708860759488,1.0
30.063291139240505,1.0
34.49367088607595,1.0
52.215189873417714,1.0
54.1139240506329,1.0
54.746835443037966,1.0
56.64556962025317,1.0
12.658227848101266,2.0
13.291139240506327,2.0
15.189873417721515,2.0
17.088607594936708,2.0
17.721518987341767,2.0
25.0,2.0
30.379746835443033,2.0
37.0253164556962,2.0
38.92405063291139,2.0
43.98734177215189,2.0
